,lat,category,name,transactions,reviews,rating,price_scale,Distance_from_Bike_Station
80,-122.6535398,Sandwiches,Double Dragon,"['delivery', 'pickup']",480,4.0,2,242
81,-122.6535398,Barbeque,Botto's BBQ,['delivery'],146,5.0,2,268
82,-122.6535398,African,Akadi PDX,"['delivery', 'pickup']",236,4.5,2,290
83,-122.6535398,Sandwiches,The Baker's Mark,['delivery'],256,4.5,1,188
84,-122.6535398,American (New),Genie's Cafe,['delivery'],528,4.0,2,253
85,-122.6535398,Delis,Edelweiss Sausage Co & Delicatessen,['delivery'],295,4.0,2,249
86,-122.6535398,"Beer, Wine & Spirits",The Beermongers,[],239,4.5,1,329
87,-122.6535398,Diners,Original Hotcake House,['delivery'],599,3.5,2,246
88,-122.6535398,Bars,Apex Bar,[],421,3.5,1,207
89,-122.6535398,Mexican,Taqueria Los Gorditos,['delivery'],477,3.5,1,230
90,-122.6535398,Food Trucks,Upside Down,['delivery'],74,4.5,1,373
91,-122.6535398,Coffee & Tea,Best Friend Juice & Espresso,"['delivery', 'pickup']",77,4.5,1,255
92,-122.6535398,Mexican,Aprisa Mexican Cuisine,"['delivery', 'pickup']",254,4.0,1,517
93,-122.6535398,Performing Arts,Funhouse Lounge,[],122,4.0,2,279
94,-122.6535398,Coffee & Tea,Rose City Coffee - Brooklyn,"['delivery', 'pickup']",109,4.5,2,464
95,-122.6535398,Beer Bar,Chuckanut Brewery - P.Nut Beerhall,[],13,4.5,2,389
96,-122.6535398,Cideries,The Place,"['delivery', 'pickup']",26,5.0,1,276
97,-122.6810794,Italian,Grassa,"['delivery', 'pickup']",1971,4.0,2,183
98,-122.6810794,Breakfast & Brunch,Cheryl’s on 12th,"['delivery', 'pickup']",2409,4.5,2,168
99,-122.6810794,Thai,Thai Peacock,"['delivery', 'pickup']",1054,4.0,2,124
100,-122.6810794,Cinema,Living Room Theaters,"['delivery', 'pickup']",597,4.0,2,66
101,-122.6810794,Bars,Bullard Tavern,"['delivery', 'pickup']",228,4.0,2,138
102,-122.6810794,French,Maurice,[],225,4.0,2,108
103,-122.6810794,Brewpubs,Deschutes Brewery Portland Public House,"['delivery', 'pickup']",3427,4.0,2,330
104,-122.6810794,Mediterranean,Lil' Shalom,"['delivery', 'pickup']",522,4.5,2,208
105,-122.6810794,Seafood,Jake's Famous Crawfish,"['delivery', 'pickup']",1812,4.0,3,206
106,-122.6810794,Mediterranean,Mediterranean Exploration Company,['delivery'],925,4.5,2,497
107,-122.6810794,Steakhouses,El Gaucho,['delivery'],714,4.0,4,194
108,-122.6810794,Sandwiches,Lardo,"['delivery', 'pickup']",1225,4.0,2,196
109,-122.6810794,Sushi Bars,Bamboo Sushi,['delivery'],713,4.0,2,149
110,-122.6810794,Thai,Farmhouse Kitchen Thai Cuisine,[],499,4.0,2,239
111,-122.6810794,American (New),Portland City Grill,"['delivery', 'pickup']",3285,4.0,3,403
112,-122.6810794,Korean,Toki,['delivery'],233,4.0,2,184
113,-122.6810794,Tapas Bars,Sunrice,[],30,4.5,2,110
114,-122.6810794,Southern,Screen Door Pearl District,['delivery'],576,4.5,2,259
115,-122.6810794,Seafood,Jake's Grill,"['delivery', 'pickup']",842,3.5,2,162
116,-122.6810794,Seafood,Southpark Seafood,"['delivery', 'pickup']",1509,4.0,3,426
117,-122.6533681,Sandwiches,Double Dragon,"['delivery', 'pickup']",480,4.0,2,21
118,-122.6533681,Breakfast & Brunch,Pine State Biscuits,"['delivery', 'pickup']",1289,4.5,2,101
119,-122.6533681,Pizza,Virtuous Pie,['delivery'],398,4.5,2,73
120,-122.6533681,African,Akadi PDX,"['delivery', 'pickup']",236,4.5,2,159
121,-122.6533681,American (New),Genie's Cafe,['delivery'],528,4.0,2,96
122,-122.6533681,Cocktail Bars,Palomar,['delivery'],212,4.5,2,240
123,-122.6533681,Sandwiches,The Baker's Mark,['delivery'],256,4.5,1,90
124,-122.6533681,Mexican,Taqueria Los Gorditos,['delivery'],477,3.5,1,29
125,-122.6533681,"Beer, Wine & Spirits",The Beermongers,[],239,4.5,1,146
126,-122.6533681,Bars,Apex Bar,[],421,3.5,1,52
127,-122.6533681,Performing Arts,Funhouse Lounge,[],122,4.0,2,84
128,-122.6533681,Coffee & Tea,Best Friend Juice & Espresso,"['delivery', 'pickup']",77,4.5,1,64
129,-122.6533681,Cocktail Bars,Deadshot,['delivery'],84,4.5,2,277
130,-122.6533681,Breweries,Ground Breaker Brewing,"['delivery', 'pickup']",252,4.0,2,520
131,-122.6533681,Beer Bar,Chuckanut Brewery - P.Nut Beerhall,[],13,4.5,2,248
132,-122.6533681,Diners,Original Hotcake House,['delivery'],599,3.5,2,476
133,-122.6533681,Mexican,Aprisa Mexican Cuisine,"['delivery', 'pickup']",254,4.0,1,381
134,-122.6533681,Pubs,The Firkin Tavern,[],59,4.0,1,429
135,-122.6533681,Coffee & Tea,7th Street Espresso,['delivery'],12,4.5,1,438
136,-122.6533681,Fast Food,Jack in the Box,['delivery'],56,2.0,1,445
137,-122.6395279,Filipino,Magna Kusina,"['pickup', 'delivery']",160,4.5,2,25
138,-122.6395279,Cocktail Bars,La Moule,['delivery'],310,4.5,3,68
139,-122.6395279,Scandinavian,Broder Café,['delivery'],1345,4.5,2,65
140,-122.6395279,American (New),Quaintrelle,['delivery'],212,4.5,3,418
141,-122.6395279,Cocktail Bars,Jacqueline,[],364,4.5,2,412
142,-122.6395279,American (Traditional),Reel M Inn,['delivery'],400,4.0,2,143
143,-122.6395279,Dive Bars,Dots Cafe,"['pickup', 'delivery']",426,4.0,2,43
144,-122.6395279,Italian,Casa Italia On Division,['delivery'],384,4.5,2,464
145,-122.6395279,Burgers,PDX Sliders,"['pickup', 'delivery']",458,4.5,2,491
146,-122.6395279,Sushi Bars,Yama Sushi & Izakaya,"['pickup', 'delivery']",500,4.0,2,405
147,-122.6395279,Thai,Kati Portland,"['pickup', 'delivery']",420,4.5,2,371
148,-122.6395279,Mexican,Nuestra Cocina,['delivery'],614,4.5,2,372
149,-122.6395279,Sushi Bars,Kashiwagi,['delivery'],90,4.5,2,161
150,-122.6395279,Coffee & Tea,Clinton Street Coffeehouse,['delivery'],86,3.5,1,21
151,-122.6395279,Bakeries,New Cascadia Traditional,['delivery'],330,4.0,1,123
152,-122.6395279,Indian,Bollywood Theater,"['pickup', 'delivery']",766,4.0,2,412
153,-122.6395279,Lounges,Lucky Horseshoe Lounge,['delivery'],29,4.5,1,51
154,-122.6395279,Pizza,Scottie's Pizza Parlor,['delivery'],382,4.5,2,366
155,-122.6395279,Bakeries,Little T American Baker,['delivery'],240,4.0,2,123
156,-122.6395279,Latin American,Mestizo,"['pickup', 'delivery']",153,4.5,2,341
157,-122.6360679,Greek,Bluto's,[],121,4.5,2,21
158,-122.6360679,Bars,Bare Bones Cafe & Bar,"['delivery', 'pickup']",243,4.0,2,14
159,-122.6360679,Thai,Farmhouse Kitchen Thai Cuisine,['delivery'],838,4.5,2,687
160,-122.6360679,Pizza,Ken's Artisan Pizza,['delivery'],841,4.5,2,494
161,-122.6360679,Thai,Rukdiew Cafe,"['delivery', 'pickup']",111,4.5,2,256
162,-122.6360679,Thai,Khao Moo Dang,"['delivery', 'pickup']",260,4.5,2,508
163,-122.6360679,Sushi Bars,Bamboo Sushi,"['delivery', 'pickup']",1110,4.5,2,482
164,-122.6360679,Peruvian,Salt & Pepper Peruvian Food Cart,"['delivery', 'pickup']",84,4.5,2,203
165,-122.6360679,Cuban,CUBO de cuba,"['delivery', 'pickup']",508,4.0,2,512
166,-122.6360679,Pizza,Baby Doll Pizza,['delivery'],507,4.5,2,368
167,-122.6360679,Thai,Mai Thai Portland ,"['delivery', 'pickup']",214,3.5,2,200
168,-122.6360679,Coffee & Tea,Tōv,['delivery'],608,4.5,2,527
169,-122.6360679,Breakfast & Brunch,The Hazel Room,"['delivery', 'pickup']",453,4.0,2,591
170,-122.6360679,Thai,Pad Thai Kitchen,"['delivery', 'pickup']",527,4.0,2,479
171,-122.6360679,Sri Lankan,Mirisata,"['delivery', 'pickup']",138,4.5,2,384
172,-122.6360679,Bars,Sweet Hereafter,['delivery'],486,4.0,2,447
173,-122.6360679,Poke,SeaSweets Poke,"['delivery', 'pickup']",340,4.5,2,503
174,-122.6360679,American (Traditional),Aalto Lounge,['delivery'],243,4.0,1,496
175,-122.6360679,Breakfast & Brunch,The Mont,"['delivery', 'pickup']",68,4.5,2,402
176,-122.6360679,Middle Eastern,TarBoush Lebanese Bistro & Bar,"['delivery', 'pickup']",336,4.0,2,569
177,-122.6662856,Middle Eastern,Shalom Y'all Restaurant,['delivery'],314,4.5,2,451
178,-122.6662856,American (New),Clarklewis,"['delivery', 'pickup', 'restaurant_reservation']",604,4.0,3,429
179,-122.6662856,Dim Sum,Dough Zone - Downtown Portland,[],490,4.0,2,606
180,-122.6662856,Coffee & Tea,Coava Coffee Roasters,['delivery'],789,4.5,2,504
181,-122.6662856,Ramen,Boke Bowl,"['delivery', 'pickup']",640,3.5,2,429
182,-122.6662856,Coffee & Tea,Water Avenue Coffee,"['delivery', 'pickup']",305,4.5,1,417
183,-122.6662856,Cafes,Nossa Familia Coffee,['delivery'],38,4.5,1,271
184,-122.6662856,Cupcakes,Sugar Street Bakery & Bistro,"['delivery', 'pickup']",84,4.0,1,124
185,-122.6662856,Mexican,La Merced,"['delivery', 'pickup']",20,4.0,1,81
186,-122.6662856,Bars,Bunk Bar Water,"['delivery', 'pickup']",383,3.5,2,421
187,-122.6662856,American (New),Theory Eatery At OMSI,[],72,3.5,2,380
188,-122.6662856,Thai,ThaiDash,"['delivery', 'pickup']",22,3.5,2,534
189,-122.6662856,Mexican,Taqueria Pardos,[],14,4.0,1,476
190,-122.6662856,Delis,Riverwalk Cafe,['delivery'],17,3.5,1,687
191,-122.6662856,French,Carol's Crepes,[],0,0.0,3,287
192,-122.6662856,Convenience Stores,7-Eleven,[],7,3.0,1,628
193,-122.651685,Italian,Nostrana,['delivery'],1106,4.0,3,90
194,-122.651685,Breakfast & Brunch,Flattop & Salamander,['delivery'],78,4.5,2,90
195,-122.651685,Russian,Kachka,['delivery'],1076,4.5,3,373
196,-122.651685,Bars,The Roof Deck at Revolution Hall,[],120,4.0,2,66
197,-122.651685,French,Le Pigeon,['delivery'],1308,4.5,3,683
198,-122.651685,Wine Bars,Canard,[],406,4.5,2,682
199,-122.651685,Sandwiches,Meat Cheese Bread,['delivery'],420,4.0,2,79
200,-122.651685,Seafood,NORMANDIE,['delivery'],216,4.5,3,520
201,-122.651685,Thai,Sunee Thai & Lao Kitchen,"['pickup', 'delivery']",266,3.5,2,79
202,-122.651685,Breakfast & Brunch,Zell's Cafe,[],630,4.5,2,163
203,-122.651685,Cocktail Bars,Scotch Lodge,['delivery'],139,4.5,2,516
204,-122.651685,Wine Bars,ENSO Winery,[],228,4.5,2,98
205,-122.651685,Bars,There Be Monsters,['delivery'],107,4.0,2,152
206,-122.651685,Cocktail Bars,Marthas,['delivery'],34,4.0,1,65
207,-122.651685,Beer Bar,Beer,[],53,4.0,2,94
208,-122.651685,Wine Bars,Noble Rot,['delivery'],688,4.0,2,543
209,-122.651685,Vegan,Mama Dut,['delivery'],126,4.0,2,166
210,-122.651685,Gay Bars,Crush,['delivery'],217,4.0,1,139
211,-122.651685,Vegan,Fermenter,['delivery'],80,4.5,2,209
212,-122.651685,Breakfast & Brunch,Hey Love,[],315,4.0,2,597
213,-122.665776,American (New),Clarklewis,"['pickup', 'restaurant_reservation', 'delivery']",604,4.0,3,30
214,-122.665776,Middle Eastern,Shalom Y'all Restaurant,['delivery'],314,4.5,2,101
215,-122.665776,American (New),Olympia Provisions,['delivery'],1078,4.5,2,447
216,-122.665776,Ramen,Boke Bowl,"['pickup', 'delivery']",640,3.5,2,24
217,-122.665776,Bars,Bunk Bar Water,"['pickup', 'delivery']",383,3.5,2,14
218,-122.665776,Coffee & Tea,Water Avenue Coffee,"['pickup', 'delivery']",305,4.5,1,19
219,-122.665776,Lounges,Slow Bar,['delivery'],597,4.0,2,553
220,-122.665776,Gastropubs,Loyal Legion,['delivery'],318,4.0,2,576
221,-122.665776,Soul Food,Nacheaux,"['pickup', 'delivery']",105,5.0,2,456
222,-122.665776,Bakeries,Berlu,[],50,4.5,1,515
223,-122.665776,Japanese,Obon Shokudo,[],136,4.5,2,487
224,-122.665776,Thai,Hat Yai,['delivery'],220,4.0,2,515
225,-122.665776,Coffee & Tea,Coava Coffee Roasters,['delivery'],789,4.5,2,460
226,-122.665776,Distilleries,Westward Whiskey,[],114,4.5,2,428
227,-122.665776,Cocktail Bars,Bit House Collective,['delivery'],190,3.5,2,455
228,-122.665776,Cocktail Bars,LULU,"['pickup', 'delivery']",110,4.5,2,494
229,-122.665776,Tea Rooms,Smith Teamaker,['delivery'],163,4.5,2,387
230,-122.665776,Bars,The Side Door,['delivery'],127,4.0,1,542
231,-122.665776,Cafes,Nossa Familia Coffee,['delivery'],38,4.5,1,489
232,-122.665776,Mexican,Robo Taco,"['pickup', 'delivery']",586,3.5,2,554
233,-122.6189983,Japanese,Musashi's Pdx,"['delivery', 'pickup']",96,4.5,2,34
234,-122.6189983,Breakfast & Brunch,Slappy Cakes,"['delivery', 'pickup']",881,3.5,2,35
235,-122.6189983,Scandinavian,Viking Soul Food,"['delivery', 'pickup']",253,4.5,2,69
236,-122.6189983,Coffee & Tea,Never Coffee,['delivery'],174,4.0,2,42
237,-122.6189983,Food Trucks,Brazilian House,"['delivery', 'pickup']",93,4.5,1,56
238,-122.6189983,British,Horse Brass Pub,[],719,4.0,2,285
239,-122.6189983,Coffee & Tea,Kind Coffee,['delivery'],105,5.0,1,47
240,-122.6189983,Burgers,Next Level Burger,"['delivery', 'pickup']",404,4.0,2,459
241,-122.6189983,Mexican,Por Qué No? Taqueria,['delivery'],1343,4.0,2,597
242,-122.6189983,Mexican,Poblano Pepper,['pickup'],77,4.5,1,79
243,-122.6189983,Vietnamese,Bamboo House,"['delivery', 'restaurant_reservation', 'pickup']",147,4.5,2,499
244,-122.6189983,Pizza,Apizza Scholls,['delivery'],1710,4.0,2,664
245,-122.6189983,Bakeries,Tabor Bread,['delivery'],201,4.5,2,215
246,-122.6189983,Thai,E-Side Thai Cuisine,"['delivery', 'pickup']",38,4.0,1,71
247,-122.6189983,Thai,Sivalai Thai Restaurant,"['delivery', 'pickup']",943,4.5,2,538
248,-122.6189983,Mediterranean,Two Brothers Cafe and Grill,['delivery'],197,4.5,2,323
249,-122.6189983,Coffee & Tea,Common Grounds Coffeehouse,['delivery'],167,4.0,1,469
250,-122.6189983,Vegan,Norah,[],23,4.5,2,413
251,-122.6189983,Beer Gardens,Belmont Station,[],299,4.0,2,378
252,-122.6189983,Burgers,Monster Smash Burgers,['delivery'],56,4.5,2,378
253,-122.6372065,Mexican,Güero,['delivery'],629,4.5,2,82
254,-122.6372065,Thai,Paadee,['delivery'],555,4.0,2,110
255,-122.6372065,Italian,Navarre,['delivery'],441,4.0,2,68
256,-122.6372065,Italian,La Buca,['delivery'],404,4.0,2,32
257,-122.6372065,Bars,Beulahland,['delivery'],245,4.0,1,26
258,-122.6372065,Cheese Shops,Cheese & Crack Snack Shop,['delivery'],511,4.5,2,144
259,-122.6372065,Southern,Screen Door Eastside,"['pickup', 'delivery']",8257,4.5,2,354
260,-122.6372065,German,Stammtisch,"['pickup', 'delivery']",501,4.5,2,238
261,-122.6372065,Diners,City State Diner & Bakery,['delivery'],576,4.0,2,39
262,-122.6372065,American (Traditional),Ankeny Tap & Table,"['pickup', 'delivery']",194,4.5,2,198
263,-122.6372065,Cuban,Pambiche,['delivery'],1610,4.0,2,321
264,-122.6372065,Vegan,The Sudra,"['pickup', 'delivery']",457,4.0,2,38
265,-122.6372065,Middle Eastern,Tusk,['delivery'],541,4.0,2,282
266,-122.6372065,Pizza,Ken's Artisan Pizza,['delivery'],841,4.5,2,348
267,-122.6372065,French,Angel Face,['delivery'],103,4.0,2,69
268,-122.6372065,Sushi Bars,Bamboo Sushi,"['pickup', 'delivery']",1110,4.5,2,358
269,-122.6372065,Italian,Montelupo Italian Market,"['pickup', 'delivery']",162,4.0,2,214
270,-122.6372065,Steakhouses,Laurelhurst Market,['delivery'],1288,4.0,3,407
271,-122.6372065,Hawaiian,Ate-Oh-Ate,"['pickup', 'delivery']",569,4.0,2,268
272,-122.6372065,Ice Cream & Frozen Yogurt,Fifty Licks Ice Cream,"['pickup', 'delivery']",314,4.0,1,115
273,-122.6725459,Tapas Bars,Lechon,['delivery'],1743,4.5,3,471
274,-122.6725459,Moroccan,Kasbah Moroccan Cafe,"['delivery', 'pickup']",362,5.0,2,78
275,-122.6725459,Breakfast & Brunch,Mother’s Bistro & Bar,"['delivery', 'pickup']",4899,4.5,2,366
276,-122.6725459,American (New),Portland City Grill,"['delivery', 'pickup']",3285,4.0,3,439
277,-122.6725459,Bars,The Society Cafe,['delivery'],83,4.5,1,116
278,-122.6725459,Cocktail Bars,Raven’s Manor,[],251,4.5,2,502
279,-122.6725459,Chinese,Golden Horse,"['delivery', 'pickup']",190,3.5,2,135
280,-122.6725459,Tea Rooms,The Tao Of Tea -  Lan Su Garden,[],113,4.5,2,65
281,-122.6725459,Moroccan,Tangier Moroccan & Mediterranean Cuisine,"['pickup', 'delivery']",440,4.5,2,437
282,-122.6725459,Pizza,Old Town Pizza & Brewing,"['delivery', 'pickup']",443,3.5,2,109
283,-122.6725459,Asian Fusion,Buranko Cafe & Bar,"['delivery', 'pickup']",164,4.5,2,476
284,-122.6725459,Bars,Tope,['delivery'],223,4.0,2,277
285,-122.6725459,Steakhouses,El Gaucho,['delivery'],714,4.0,4,633
286,-122.6725459,Japanese Curry,Kalé,['delivery'],516,4.5,2,506
287,-122.6725459,Ramen,AFURI ramen + dumpling,"['delivery', 'pickup']",590,4.0,2,343
288,-122.6725459,Barbeque,Good Taste,['delivery'],457,4.0,1,241
289,-122.6725459,Bars,Ground Kontrol Classic Arcade,[],1403,4.0,1,280
290,-122.6725459,Food Court,Pine Street Market,[],424,4.0,2,430
291,-122.6725459,Breakfast & Brunch,Kingsland Kitchen,"['delivery', 'pickup']",742,4.0,2,417
292,-122.6725459,Southern,Grits N' Gravy,"['delivery', 'pickup']",221,4.5,2,504
293,-122.6966429,Sushi Bars,Bamboo Sushi,['delivery'],821,4.5,2,169
294,-122.6966429,American (New),The Fireside,"['pickup', 'delivery']",451,4.0,2,212
295,-122.6966429,Italian,Serratto,['delivery'],705,4.0,3,171
296,-122.6966429,Chinese,Ling Garden Chinese Restaurant,"['pickup', 'delivery']",272,4.0,2,149
297,-122.6966429,American (New),Papa Haydn Northwest,['delivery'],1296,4.0,2,267
298,-122.6966429,Ice Cream & Frozen Yogurt,Salt & Straw,"['pickup', 'delivery']",4181,4.5,2,155
299,-122.6966429,Brewpubs,Bantam Tavern,"['pickup', 'delivery']",76,4.5,2,178
300,-122.6966429,Burmese,Top Burmese,"['pickup', 'delivery']",380,4.5,2,464
301,-122.6966429,Italian,Caffe Mingo,['delivery'],268,4.0,2,181
302,-122.6966429,Mediterranean,Carina Lounge,"['pickup', 'delivery']",197,4.5,2,487
303,-122.6966429,Korean,Bibi2go,"['pickup', 'delivery']",319,4.5,1,169
304,-122.6966429,Pizza,Ranch PDX,"['pickup', 'delivery']",155,4.5,2,187
305,-122.6966429,Cocktail Bars,Bar West,"['pickup', 'delivery']",90,4.5,2,259
306,-122.6966429,Thai,Thai Bloom!,['delivery'],639,4.0,2,516
307,-122.6966429,Bakeries,Ken's Artisan Bakery,['delivery'],891,4.5,1,519
308,-122.6966429,Mexican,Pepino's Mexican Grill,"['pickup', 'delivery']",412,4.0,1,140
309,-122.6966429,American (New),Jo Bar & Rotisserie,[],260,4.0,2,259
310,-122.6966429,Ramen,Boxer Ramen,"['pickup', 'delivery']",283,4.0,2,198
311,-122.6966429,Moroccan,Marrakesh Restaurant,"['pickup', 'delivery']",572,4.0,2,231
312,-122.6966429,Pizza,Please Louise,['delivery'],195,4.5,2,447
313,-122.6824299,Spanish,Can Font,"['pickup', 'delivery']",245,4.0,2,105
314,-122.6824299,Tacos,Carlita's - Portland,"['pickup', 'delivery']",223,4.0,2,80
315,-122.6824299,American (Traditional),The Fields Bar & Grill,"['pickup', 'delivery']",403,4.0,2,114
316,-122.6824299,Sushi Bars,Yama Sushi & Sake Bar,"['pickup', 'delivery']",945,4.0,2,313
317,-122.6824299,Italian,Via Delizia,"['pickup', 'delivery']",338,4.0,2,154
318,-122.6824299,Breakfast & Brunch,Ovation Coffee & Tea,['delivery'],846,4.5,1,87
319,-122.6824299,American (Traditional),Jojo,[],128,4.0,2,339
320,-122.6824299,Italian,Piazza Italia,"['pickup', 'delivery']",1055,4.0,2,396
321,-122.6824299,Coffee & Tea,Tea Bar,['delivery'],267,4.0,2,87
